V0	Vf	V_sent	D	dt	triple_id	considered_samples
0.240000	0.000000	0.000000	6.800000	0.000000	0.000000	0.000000	1.000000
0.480000	0.000000	0.000000	20.000000	0.000000	1.000000	0.000000	1.000000
0.640000	0.000000	0.000000	50.800000	0.000510	2.000000	0.000000	1.000000
0.880000	0.000000	0.000000	80.000000	0.000501	3.000000	0.000000	1.000000
1.040000	0.000000	0.000000	134.800000	0.001000	4.000000	0.000000	1.000000
1.200000	0.000000	0.000000	204.000000	0.000501	5.000000	0.000000	1.000000
1.440000	0.000000	0.000000	258.800000	0.001501	6.000000	0.000000	1.000000
1.680000	0.000000	0.000000	320.000000	0.000497	7.000000	0.000000	1.000000
1.840000	0.000000	0.000000	422.800000	0.001500	8.000000	0.000000	1.000000
2.080000	0.000000	0.000000	500.000000	0.001485	9.000000	0.000000	1.000000
2.240000	0.000000	0.000000	626.800000	0.001500	10.000000	0.000000	1.000000
2.480000	0.000000	0.000000	720.000000	0.001503	11.000000	0.000000	1.000000
2.640000	0.000000	0.000000	870.800000	0.002518	12.000000	0.000000	1.000000
2.880000	0.000000	0.000000	980.000000	0.001501	13.000000	0.000000	1.000000
3.040000	0.000000	0.000000	1154.800000	0.002007	14.000000	0.000000	1.000000
3.280000	0.000000	0.000000	1280.000000	0.002500	15.000000	0.000000	1.000000
3.440000	0.000000	0.000000	1478.800000	0.002000	16.000000	0.000000	1.000000
3.680000	0.000000	0.000000	1620.000000	0.002996	17.000000	0.000000	1.000000
3.840000	0.000000	0.000000	1842.800000	0.003004	18.000000	0.000000	1.000000
4.080000	0.000000	0.000000	2000.000000	0.002982	19.000000	0.000000	1.000000
0.000000	0.160000	0.200000	3.200000	0.000000	20.000000	0.000000	1.000000
0.480000	0.240000	0.200000	12.800000	0.000499	21.000000	0.000000	1.000000
0.640000	0.240000	0.200000	43.600000	0.000000	22.000000	0.000000	1.000000
0.880000	0.240000	0.200000	72.800000	0.000987	23.000000	0.000000	1.000000
1.040000	0.240000	0.200000	127.600000	0.001024	24.000000	0.000000	1.000000
1.200000	0.240000	0.200000	196.800000	0.001000	25.000000	0.000000	1.000000
1.440000	0.240000	0.200000	251.600000	0.000500	26.000000	0.000000	1.000000
1.680000	0.240000	0.200000	312.800000	0.001504	27.000000	0.000000	1.000000
1.840000	0.240000	0.200000	415.600000	0.000978	28.000000	0.000000	1.000000
2.080000	0.240000	0.200000	492.800000	0.001000	29.000000	0.000000	1.000000
2.240000	0.240000	0.200000	619.600000	0.001500	30.000000	0.000000	1.000000
2.480000	0.240000	0.200000	712.800000	0.001499	31.000000	0.000000	1.000000
2.640000	0.240000	0.200000	863.600000	0.001511	32.000000	0.000000	1.000000
2.880000	0.240000	0.200000	972.800000	0.001490	33.000000	0.000000	1.000000
3.040000	0.240000	0.200000	1147.600000	0.002000	34.000000	0.000000	1.000000
3.280000	0.240000	0.200000	1272.800000	0.002008	35.000000	0.000000	1.000000
3.440000	0.240000	0.200000	1471.600000	0.002003	36.000000	0.000000	1.000000
3.680000	0.240000	0.200000	1612.800000	0.002500	37.000000	0.000000	1.000000
3.840000	0.240000	0.200000	1835.600000	0.002994	38.000000	0.000000	1.000000
4.080000	0.240000	0.200000	1992.800000	0.002506	39.000000	0.000000	1.000000
0.000000	0.400000	0.400000	20.000000	0.000000	40.000000	0.000000	1.000000
0.240000	0.400000	0.400000	20.400000	0.000000	41.000000	0.000000	1.000000
0.640000	0.400000	0.400000	30.800000	0.000993	42.000000	0.000000	1.000000
0.880000	0.400000	0.400000	60.000000	0.000000	43.000000	0.000000	1.000000
1.040000	0.400000	0.400000	114.800000	0.000000	44.000000	0.000000	1.000000
1.200000	0.400000	0.400000	184.000000	0.001000	45.000000	0.000000	1.000000
1.440000	0.400000	0.400000	238.800000	0.000491	46.000000	0.000000	1.000000
1.680000	0.400000	0.400000	300.000000	0.001000	47.000000	0.000000	1.000000
1.840000	0.400000	0.400000	402.800000	0.001020	48.000000	0.000000	1.000000
2.080000	0.400000	0.400000	480.000000	0.000981	49.000000	0.000000	1.000000
2.240000	0.400000	0.400000	606.800000	0.001486	50.000000	0.000000	1.000000
2.480000	0.400000	0.400000	700.000000	0.001996	51.000000	0.000000	1.000000
2.640000	0.400000	0.400000	850.800000	0.001499	52.000000	0.000000	1.000000
2.880000	0.400000	0.400000	960.000000	0.001498	53.000000	0.000000	1.000000
3.040000	0.400000	0.400000	1134.800000	0.002010	54.000000	0.000000	1.000000
3.280000	0.400000	0.400000	1260.000000	0.001499	55.000000	0.000000	1.000000
